09/12/2022 12:39 | Test_lighting | 0h 0m 19s
09/12/2022 14:09 | Test_lighting | 0h 0m 21s
09/12/2022 14:11 | Test_lighting | 0h 0m 20s
09/12/2022 14:14 | Test_lighting | 0h 0m 20s
09/12/2022 14:17 | Test_lighting | 0h 0m 21s
09/12/2022 14:20 | Test_lighting | 0h 0m 21s
09/12/2022 14:21 | Test_lighting | 0h 0m 21s
09/12/2022 14:26 | Test_lighting | 0h 0m 20s
09/12/2022 14:29 | Test_lighting | 0h 0m 22s
09/12/2022 14:33 | Test_lighting | 0h 0m 25s
09/12/2022 14:35 | Test_lighting | 0h 0m 21s
09/12/2022 14:36 | Test_lighting | 0h 0m 22s
09/12/2022 14:45 | Test_lighting | 0h 0m 42s
09/12/2022 14:47 | Test_lighting | 0h 0m 42s
09/12/2022 14:49 | Test_lighting | 0h 0m 41s
09/14/2022 15:17 | SampleScene | 0h 1m 46s
